SteamSlot|GOGSlot|J|SteamFn|SteamB|GOGFn|GogB
+0x394|+0x33C|0.62|0x0x7d6490|417|0x0x6fd240|385
+0x398|+0x340|0.43|0x0x8d1400|72|0x0x76e220|72
+0x39C|+0x344|1.00|0x0x8d1450|72|0x0x76ba70|73
+0x3A8|+0x350|0.82|0x0x7fb290|264|0x0x6f5fa0|262
+0x3CC|+0x374|0.56|0x0x8bbbf0|507|0x0x77a3b0|501
+0x3D0|+0x378|0.56|0x0x8bb9d0|457|0x0x77a5b0|445
+0x3D8|+0x47C|0.50|0x0x7dda30|23|0x0x76ca70|11
+0x3DC|+0x384|0.55|0x0x8c5670|284|0x0x7729e0|243
+0x3EC|+0x394|1.00|0x0x8c4490|52|0x0x76bbd0|46
+0x3F0|+0x398|1.00|0x0x7f32e0|32|0x0x76bbb0|26
+0x3F4|+0x39C|0.59|0x0x8c6330|276|0x0x76e460|263
+0x3F8|+0x3A0|0.42|0x0x8c6210|280|0x0x76e350|267
+0x3FC|+0x3A4|0.61|0x0x8bf1f0|303|0x0x76e6a0|285
+0x414|+0x3BC|1.00|0x0x7da7c0|61|0x0x728290|61
+0x418|+0x3C0|1.00|0x0x7da420|33|0x0x7282d0|38
+0x420|+0x3C8|0.43|0x0x8b5010|44|0x0x76fdf0|40
+0x428|+0x3D0|0.53|0x0x8bf320|949|0x0x776670|895
+0x42C|+0x3D4|0.54|0x0x8b1d70|325|0x0x772570|146
+0x430|+0x3D8|0.42|0x0x7fd360|541|0x0x721ed0|570
+0x438|+0x3E0|1.00|0x0x8afb70|39|0x0x7752e0|37
+0x43C|+0x3E4|0.56|0x0x8c1bd0|133|0x0x775310|123
+0x440|+0x3E8|0.71|0x0x8c0e80|673|0x0x76d360|714
+0x444|+0x3EC|0.78|0x0x8d14a0|66|0x0x76d630|66
+0x448|+0x3F0|1.00|0x0x8b2510|67|0x0x76d7a0|62
+0x450|+0x3F8|1.00|0x0x8c45d0|16|0x0x77b310|13
+0x454|+0x3FC|0.62|0x0x805d00|296|0x0x728520|315
+0x458|+0x400|0.92|0x0x7fb1e0|172|0x0x6fecd0|174
+0x460|+0x408|0.48|0x0x7e3130|688|0x0x6fce90|722
+0x464|+0x40C|0.43|0x0x7e3770|493|0x0x701250|513
+0x468|+0x410|0.67|0x0x8bbbb0|62|0x0x770820|63
+0x46C|+0x414|1.00|0x0x8c44e0|57|0x0x772ae0|47
+0x480|+0x428|0.66|0x0x7f9b70|389|0x0x6fd620|377
+0x488|+0x354|0.56|0x0x7ec2a0|76|0x0x6f60b0|27
+0x498|+0x440|1.00|0x0x8063d0|34|0x0x728660|34
+0x4A4|+0x44C|0.54|0x0x7d0630|270|0x0x6fb200|212
+0x4A8|+0x450|0.50|0x0x7d0520|266|0x0x6fb2e0|206
+0x4B0|+0x458|1.00|0x0x7dba80|52|0x0x6faa60|44
+0x4B4|+0x45C|1.00|0x0x7f15d0|61|0x0x70cf40|56
+0x4C0|+0x468|1.00|0x0x8c45c0|16|0x0x76d2d0|13
+0x4C8|+0x47C|1.00|0x0x8d14f0|15|0x0x76ca70|11
+0x4D4|+0x47C|1.00|0x0x8c2b20|15|0x0x76ca70|11
+0x4D8|+0x47C|1.00|0x0x8b8d10|9|0x0x76ca70|11
+0x4DC|+0x484|1.00|0x0x8c45a0|26|0x0x76c820|21
+0x4E4|+0x48C|0.50|0x0x8af330|188|0x0x7791a0|166
+0x4E8|+0x490|0.71|0x0x8c13f0|99|0x0x780e90|102
+0x4EC|+0x494|1.00|0x0x8ba270|46|0x0x773090|44
+0x4F8|+0x4A0|0.60|0x0x8ba240|32|0x0x76db50|26
+0x4FC|+0x4A4|0.40|0x0x8c6040|280|0x0x76cd60|328
+0x504|+0x4AC|1.00|0x0x8bab30|42|0x0x76cc80|39
+0x50C|+0x4B4|0.50|0x0x7df060|68|0x0x6f6850|57
+0x518|+0x4C0|0.44|0x0x7ef660|345|0x0x6fdfb0|417
+0x520|+0x4C8|0.89|0x0x7d4e70|56|0x0x702a40|58
+0x528|+0x4D0|0.62|0x0x805670|571|0x0x728f50|525
+0x544|+0x47C|1.00|0x0x8b1c70|9|0x0x76ca70|11
+0x554|+0x47C|1.00|0x0x8c6500|9|0x0x76ca70|11
+0x584|+0x3F8|1.00|0x0x8c46c0|16|0x0x77b310|13
+0x58C|+0x3F8|1.00|0x0x8c46d0|16|0x0x77b310|13
+0x598|+0x47C|1.00|0x0x8afba0|9|0x0x76ca70|11
